location,type,nightly_price,features,tags
London,cabin,190,pet friendly,"remote, mountain, beach"
London,cabin,340,"pet friendly, hot tub","family-friendly, beach"
London,condo,410,"pet friendly, WiFi","family-friendly, nightlife, beach, mountain"
London,cabin,380,"WiFi, hot tub","beach, remote"
Paris,house,290,"WiFi, pet friendly, hot tub","remote, nightlife"
Rome,condo,355,"pet friendly, hot tub, WiFi","mountain, family-friendly, remote, beach"
Paris,house,385,pet friendly,"family-friendly, beach, remote"
Paris,condo,240,"WiFi, pet friendly, hot tub","nightlife, family-friendly, beach"
London,cabin,295,"pet friendly, hot tub","beach, remote, nightlife"
Rome,cabin,440,"pet friendly, WiFi","beach, family-friendly, mountain"
Rome,house,340,hot tub,"remote, nightlife, beach, family-friendly"
Paris,cabin,280,"WiFi, hot tub","remote, mountain, beach"
Rome,cabin,195,"WiFi, pet friendly, hot tub","mountain, remote, family-friendly"
Rome,condo,150,"WiFi, hot tub, pet friendly","nightlife, mountain, beach, family-friendly"
Rome,house,255,hot tub,"remote, beach, nightlife"
London,house,465,"hot tub, pet friendly","beach, nightlife, remote"
