property_id,location,environment,property_type,nightly_price,features,tags,min_guests,max_guests
P000028,"Vancouver, Canada",mountain,bungalow,285,"24h check-in,air conditioning,breakfast included,elevator,gym,hammocks,hiking trails,hot tub,mountain view,near metro,ocean view,outdoor shower,pool,ski storage,wifi","beach,budget,business,family,forest,mountain,nature,near metro,quiet,romantic,urban",2,5
P000029,"Las Vegas, USA",urban,loft,140,"air conditioning,balcony,city view,elevator,kitchen,near metro,parking,smart lock,workspace","desert,long stay,mid-range,pet-friendly,urban",1,3
P000030,"Johannesburg, South Africa",urban,apartment,140,"24h check-in,breakfast included,gym,pet friendly,security,smart lock,tv,wifi","business,mid-range,pet-friendly,urban",1,3
P000031,"Nairobi, Kenya",nature,townhouse,150,"city view,elevator,gym,near metro,parking,pet friendly,smart lock,solar power,washer dryer,wifi,wildlife viewing","budget,city center,long stay,nature,urban",4,8
P000032,"Naples, Italy",beach,townhouse,240,"balcony,beach access,city view,elevator,gym,parking,pet friendly,pool,washer dryer","beach,beachfront,city center,family,long stay,luxury,townhouse,urban",2,4
P000033,"Hanoi, Vietnam",urban,condo,85,"24h check-in,near metro,parking,security,smart lock,wifi","condo,long stay,luxury,near metro,urban",1,2
P000034,"Athens, Greece",beach,townhouse,135,"24h check-in,air conditioning,balcony,breakfast included,elevator,kitchen,near metro,outdoor shower,pool,smart lock,tv","beach,beachfront,family,long stay,luxury,near metro,urban",4,8
P000035,"Warsaw, Poland",urban,apartment,180,"24h check-in,balcony,city view,elevator,near metro,smart lock,tv,wifi","budget,business,pet-friendly,urban",2,4
P000036,"Cusco, Peru",mountain,cabin,70,"air conditioning,breakfast included,city view,elevator,gym,hot tub,mountain view,pet friendly,security,ski storage,smart lock,workspace","budget,city center,mountain,near metro,quiet,ski,urban",2,5
P000037,"Alappuzha, India",waterfront,condo,90,"air conditioning,balcony,beach access,gym,parking,pool,security,smart lock,tv,washer dryer","beachfront,budget,coast,ocean view,waterfront",1,2
P000038,"Cusco, Peru",mountain,townhouse,60,"24h check-in,breakfast included,city view,elevator,gym,hot tub,kitchen,near metro,parking,ski storage,washer dryer,wifi,workspace","business,long stay,mid-range,mountain,nature,quiet,urban",2,4
P000039,"Dubai, UAE",beach,guesthouse,150,"air conditioning,balcony,beach access,beachfront,breakfast included,elevator,kitchen,outdoor shower,parking","beach,budget,business,desert,near metro,ocean view,romantic,urban",1,1
P000040,"Porto, Portugal",coast,hotel,175,"air conditioning,beach access,breakfast included,city view,elevator,near metro,pool,sea view,washer dryer,workspace","budget,city center,coast,family,near metro,ocean view,urban",1,1
P000041,"Auckland, New Zealand",beach,townhouse,200,"24h check-in,air conditioning,beachfront,smart lock,tv,washer dryer","beach,family,long stay,mid-range,ocean view,pet-friendly,urban",1,3
P000042,"Tulum, Mexico",beach,condo,165,"24h check-in,beachfront,elevator,kitchen,ocean view,parking,security,tv,washer dryer,wifi","beach,beachfront,condo,luxury,ocean view",3,6
P000043,"Toronto, Canada",lake,loft,215,"24h check-in,breakfast included,elevator,gym,kayaks,kitchen,lake view,near metro,parking,sauna,smart lock,washer dryer,wifi","budget,business,lake,loft,near metro,urban",2,5
P000044,"Copenhagen, Denmark",coast,hotel,245,"24h check-in,beach access,breakfast included,city view,elevator,gym,kitchen,near metro,pet friendly,pool,security,washer dryer","city center,coast,family,luxury,ocean view,pet-friendly,urban",1,3
P000045,"Quebec City, Canada",forest,townhouse,115,"24h check-in,air conditioning,city view,courtyard,elevator,firepit,gym,hammocks,heritage building,hiking trails,near metro,rooftop terrace,smart lock","business,forest,historic,mid-range,nature,near metro,quiet,urban",2,5
P000046,"Auckland, New Zealand",beach,villa,215,"balcony,city view,elevator,kitchen,near metro,outdoor shower,pet friendly,pool,security,smart lock,washer dryer,wifi","beach,city center,long stay,luxury,ocean view,romantic,urban,villa",2,4
P000047,"Cairo, Egypt",urban,studio,80,"air conditioning,balcony,elevator,near metro,parking,pool,river view,rooftop terrace,tv,wifi,workspace","business,desert,long stay,luxury,river,urban",1,2
P000048,"Johannesburg, South Africa",urban,townhouse,210,"24h check-in,air conditioning,breakfast included,elevator,gym,parking,pet friendly,smart lock","business,long stay,mid-range,urban",3,6
P000049,"Riyadh, Saudi Arabia",urban,apartment,165,"air conditioning,breakfast included,city view,elevator,gym,near metro,pool,rooftop terrace,security,smart lock,tv,workspace","budget,desert,long stay,pet-friendly,urban",2,4
P000050,"Cape Town, South Africa",beach,apartment,100,"24h check-in,air conditioning,beachfront,breakfast included,elevator,gym,pet friendly,pool,security,wifi,workspace","beach,beachfront,family,long stay,luxury,mountain,nature,pet-friendly,ski,urban",2,4
P000051,"Las Vegas, USA",urban,studio,145,"balcony,breakfast included,city view,elevator,kitchen,near metro,pet friendly,tv,workspace","budget,business,desert,near metro,urban",1,2
P000052,"Mexico City, Mexico",urban,apartment,135,"24h check-in,air conditioning,balcony,breakfast included,city view,elevator,security,washer dryer,wifi,workspace","luxury,near metro,pet-friendly,urban",1,2
P000053,"Reykjavik, Iceland",coast,cabin,240,"blackout curtains,city view,panoramic window,pet friendly,sea view,security,smart lock,tv,workspace","business,city center,coast,luxury,northern lights,ocean view,romantic,urban",1,3
P000054,"San Diego, USA",beach,townhouse,195,"24h check-in,beach access,breakfast included,city view,elevator,gym,near metro,outdoor shower,parking,pet friendly,pool,washer dryer,workspace","beach,beachfront,business,family,mid-range,pet-friendly,urban",2,5
P000055,"San Francisco, USA",coast,townhouse,365,"24h check-in,balcony,breakfast included,elevator,near metro,parking,tv,workspace","beachfront,business,city center,coast,luxury,romantic,urban",2,5
P000056,"Rome, Italy",urban,apartment,235,"24h check-in,air conditioning,balcony,breakfast included,city view,elevator,near metro,parking,pet friendly","business,long stay,luxury,urban",2,4
P000057,"Barcelona, Spain",beach,townhouse,190,"24h check-in,breakfast included,city view,near metro,parking,pet friendly,smart lock,workspace","beach,business,city center,luxury,ocean view,romantic,urban",1,3
P000058,"Amman, Jordan",urban,villa,230,"elevator,gym,kitchen,near metro,parking,tv,wifi,workspace","business,desert,long stay,luxury,urban",5,10
P000059,"Milan, Italy",urban,apartment,160,"air conditioning,city view,elevator,gym,kitchen,near metro,parking,pet friendly,security","city center,long stay,mid-range,urban",1,2
P000060,"Muscat, Oman",beach,apartment,225,"air conditioning,balcony,beachfront,breakfast included,city view,gym,kitchen,near metro,ocean view,parking,pool,rooftop terrace,smart lock","apartment,beach,beachfront,business,city center,desert,hiking,luxury,mountain,ocean view,ski,urban",2,4
P000061,"Athens, Greece",beach,guesthouse,125,"24h check-in,air conditioning,elevator,near metro,tv,washer dryer,wifi,workspace","beach,beachfront,city center,family,luxury,near metro,urban",1,3
P000062,"Oslo, Norway",forest,guesthouse,135,"breakfast included,city view,elevator,firepit,gym,hammocks,kitchen,near metro,pet friendly,sauna,smart lock","city center,fjord,forest,guesthouse,long stay,luxury,nature,ski,urban",1,1
P000063,"Tulum, Mexico",beach,apartment,110,"air conditioning,beach access,elevator,kitchen,pool,security,smart lock,tv,washer dryer","beach,family,luxury,romantic",1,2
P000064,"Barcelona, Spain",beach,villa,260,"24h check-in,balcony,beach access,city view,elevator,gym,kitchen,ocean view,parking,pet friendly,smart lock,tv","beach,beachfront,budget,city center,long stay,romantic,urban",3,7
P000065,"Leh, India",mountain,chalet,105,"air conditioning,balcony,elevator,rooftop terrace,security,shade courtyard,tv,workspace","desert,hiking,luxury,mountain,ski",6,12
P000066,"Paris, France",urban,loft,345,"air conditioning,balcony,city view,gym,kitchen,near metro,parking,workspace","mid-range,near metro,pet-friendly,urban",3,6
P000067,"Halifax, Canada",coast,hotel,175,"24h check-in,balcony,breakfast included,sea view,smart lock,washer dryer,workspace","beachfront,coast,long stay,luxury,pet-friendly,romantic,urban",1,1
P000068,"Victoria, Seychelles",beach,apartment,190,"air conditioning,balcony,breakfast included,gym,pet friendly,pool,scooter rental,smart lock","beach,beachfront,budget,island,romantic",3,6
P000069,"San Francisco, USA",coast,bungalow,335,"24h check-in,beach access,gym,parking,pet friendly,sea view,security,tv,washer dryer,workspace","beachfront,budget,business,coast,family,long stay,urban",2,4
P000070,"Chicago, USA",lake,apartment,170,"24h check-in,air conditioning,balcony,breakfast included,kayaks,kitchen,lake view,parking,sauna,washer dryer","lake,long stay,luxury,near metro,urban",1,3
P000071,"Da Nang, Vietnam",beach,bungalow,110,"balcony,beachfront,city view,elevator,gym,kitchen,near metro,pet friendly,pool,wifi","beach,business,city center,family,mid-range,ocean view,urban",2,5
P000072,"Siem Reap, Cambodia",urban,condo,215,"courtyard,elevator,heritage building,parking,pet friendly,rooftop terrace,security,tv","budget,business,historic,near metro,urban",2,5
P000073,"Barcelona, Spain",beach,villa,320,"24h check-in,air conditioning,balcony,beach access,near metro,security,smart lock,workspace","beach,budget,family,near metro,ocean view,pet-friendly,urban,villa",6,12
P000074,"Punta Cana, Dominican Republic",beach,hotel,240,"air conditioning,balcony,beach access,gym,kitchen,outdoor shower,pool,security,smart lock,workspace","beach,beachfront,hotel,luxury,ocean view",2,4
P000075,"Rio de Janeiro, Brazil",beach,loft,65,"balcony,beachfront,hot tub,kitchen,ocean view,pool,security,washer dryer,workspace","beach,beachfront,hiking,long stay,mid-range,mountain,nature,ocean view,pet-friendly,urban",1,2
P000076,"New Orleans, USA",coast,villa,270,"24h check-in,beach access,breakfast included,city view,elevator,gym,parking,pool,wifi","beachfront,business,coast,family,long stay,luxury,urban",7,14
P000077,"Singapore, Singapore",urban,bungalow,295,"air conditioning,balcony,beachfront,breakfast included,city view,kitchen,pool,smart lock,tv,washer dryer,workspace","city center,family,island,mid-range,pet-friendly,romantic,urban",3,6
P000078,"Singapore, Singapore",urban,condo,235,"balcony,beachfront,elevator,pet friendly,scooter rental,smart lock,workspace","beachfront,budget,business,island,near metro,romantic,urban",3,6
P000079,"Munich, Germany",urban,apartment,215,"24h check-in,breakfast included,elevator,security,smart lock","business,luxury,near metro,urban",2,4
P000080,"Amsterdam, Netherlands",urban,guesthouse,100,"balcony,breakfast included,canal view,city view,elevator,gym,near metro,parking,pet friendly,wifi","budget,business,canal,long stay,urban",3,6
P000081,"Cancun, Mexico",beach,hotel,170,"air conditioning,breakfast included,elevator,parking,pet friendly,smart lock,tv,washer dryer","beach,luxury,ocean view,romantic",1,3
P000082,"Lisbon, Portugal",coast,hotel,195,"air conditioning,beach access,city view,elevator,gym,kitchen,pet friendly,sea view,washer dryer","beachfront,city center,coast,family,long stay,mid-range,urban",1,1
P000083,"Leh, India",mountain,chalet,115,"air conditioning,balcony,breakfast included,kitchen,rooftop terrace,smart lock,tv,workspace","desert,mid-range,mountain,quiet,ski",2,4
P000084,"Vancouver, Canada",mountain,bungalow,235,"air conditioning,breakfast included,elevator,hot tub,mountain view,parking,pet friendly,security,tv","beach,beachfront,forest,hiking,long stay,luxury,mountain,near metro,romantic,ski,urban",1,2
P000085,"Göreme, Turkey",mountain,cave_house,170,"air conditioning,balcony,courtyard,fireplace,heritage building,hiking trails,kitchen,parking,pet friendly,pool,rooftop terrace,security,shade courtyard,tv,wifi","cave house,desert,hiking,historic,mid-range,mountain,quiet",2,4
P000086,"Paris, France",urban,townhouse,245,"24h check-in,air conditioning,balcony,city view,elevator,gym,near metro,smart lock,wifi","budget,city center,long stay,urban",3,7
P000087,"Los Angeles, USA",beach,chalet,375,"24h check-in,beach access,elevator,fireplace,gym,hot tub,pet friendly,security,smart lock,washer dryer","beach,business,city center,family,mid-range,mountain,nature,ocean view,quiet,urban",2,4
P000088,"Cappadocia, Turkey",mountain,hotel,190,"air conditioning,balcony,breakfast included,elevator,gym,hiking trails,hot tub,kitchen,mountain view,pet friendly,pool,tv,washer dryer","desert,historic,mid-range,mountain,nature,quiet",1,2
P000089,"Lagos, Nigeria",beach,condo,140,"balcony,breakfast included,gym,pet friendly,tv,washer dryer,wifi","beach,beachfront,budget,business,long stay,ocean view,urban",2,5
P000090,"Cancun, Mexico",beach,apartment,170,"24h check-in,balcony,beach access,beachfront,breakfast included,outdoor shower,parking,workspace","beach,family,mid-range,ocean view",1,3
P000091,"Leh, India",mountain,luxury_tent,85,"balcony,elevator,fireplace,pet friendly,security,washer dryer,workspace","desert,luxury,mountain,nature,ski",1,2
P000092,"Madrid, Spain",urban,guesthouse,180,"air conditioning,breakfast included,gym,kitchen,parking,smart lock,tv,washer dryer","long stay,luxury,near metro,urban",1,3
P000093,"Portland, USA",forest,hotel,155,"24h check-in,air conditioning,city view,elevator,firepit,smart lock,washer dryer","budget,forest,nature,near metro,pet-friendly,ski,urban",1,3
P000094,"Pokhara, Nepal",mountain,guesthouse,50,"dock,fireplace,gym,hiking trails,kitchen,lake view,pet friendly,security,ski storage,tv,washer dryer","lake,luxury,mountain,nature,quiet",2,5
P000095,"Reykjavik, Iceland",coast,cabin,260,"air conditioning,blackout curtains,elevator,kitchen,near metro,panoramic window,pool,sea view,security,washer dryer","beachfront,business,coast,family,luxury,near metro,northern lights,urban",2,5
P000096,"London, UK",urban,loft,190,"24h check-in,air conditioning,balcony,breakfast included,tv,workspace","budget,city center,pet-friendly,urban",1,3
P000097,"Amman, Jordan",urban,hotel,190,"air conditioning,city view,elevator,gym,near metro,pool,security,shade courtyard,washer dryer,workspace","city center,desert,mid-range,near metro,urban",2,4
P000098,"Rio de Janeiro, Brazil",beach,chalet,220,"24h check-in,balcony,breakfast included,city view,mountain view,pet friendly,security,ski storage,smart lock","beach,beachfront,budget,business,city center,hiking,mountain,romantic,ski,urban",4,9
P000099,"Cappadocia, Turkey",mountain,villa,240,"24h check-in,air conditioning,balcony,parking,rooftop terrace,security,shade courtyard,ski storage,tv","desert,hiking,historic,luxury,mountain,ski",5,10
P000100,"Göreme, Turkey",mountain,chalet,200,"air conditioning,courtyard,fireplace,gym,heritage building,hot tub,rooftop terrace,shade courtyard,ski storage,tv,washer dryer,wifi,workspace","chalet,desert,hiking,historic,luxury,mountain,quiet",4,9
P000101,"Cairo, Egypt",urban,condo,70,"24h check-in,air conditioning,breakfast included,elevator,kitchen,river view,rooftop terrace,shade courtyard,tv,washer dryer,workspace","condo,desert,long stay,luxury,pet-friendly,river,urban",2,5
P000102,"New York, USA",urban,condo,265,"24h check-in,air conditioning,balcony,city view,elevator,gym,smart lock,tv,workspace","business,luxury,pet-friendly,urban",2,4
P000103,"Cusco, Peru",mountain,villa,135,"24h check-in,balcony,hiking trails,hot tub,kitchen,mountain view,pet friendly,security,washer dryer,wifi,workspace","city center,long stay,luxury,mountain,quiet,ski,urban",4,8
P000104,"Alappuzha, India",waterfront,bungalow,80,"balcony,beach access,breakfast included,kitchen,parking,pool,sea view,tv,water view,wifi","bungalow,coast,family,luxury,romantic,waterfront",1,3
P000105,"Milan, Italy",urban,loft,160,"air conditioning,balcony,city view,elevator,gym,pet friendly,security,workspace","budget,business,long stay,urban",1,3
P000106,"Muscat, Oman",beach,luxury_tent,250,"24h check-in,beach access,beachfront,breakfast included,city view,elevator,fireplace,gym,hot tub,parking,pool,rooftop terrace,shade courtyard,smart lock,washer dryer","beach,business,city center,desert,family,luxury tent,mid-range,mountain,nature,quiet,romantic,urban",2,4
P000107,"Jeddah, Saudi Arabia",beach,studio,205,"breakfast included,kitchen,ocean view,parking,security,tv,workspace","beach,city center,desert,family,long stay,mid-range,romantic,studio,urban",1,2
P000108,"Milan, Italy",urban,apartment,155,"24h check-in,city view,elevator,gym,parking,pet friendly,security,workspace","city center,luxury,pet-friendly,urban",3,6
P000109,"New York, USA",urban,condo,310,"air conditioning,gym,pet friendly,smart lock,washer dryer,wifi","business,city center,luxury,urban",2,5
P000110,"Bangkok, Thailand",urban,guesthouse,85,"air conditioning,balcony,elevator,gym,kitchen,parking,smart lock,washer dryer","business,guesthouse,long stay,luxury,urban",2,4
P000111,"Phuket, Thailand",beach,condo,85,"air conditioning,beachfront,breakfast included,elevator,ocean view,pet friendly,tv,workspace","beach,beachfront,island,mid-range,ocean view",3,6
P000112,"Krakow, Poland",urban,apartment,150,"24h check-in,balcony,breakfast included,elevator,gym,near metro,parking,tv,washer dryer,wifi","apartment,city center,historic,long stay,mid-range,urban",2,4
P000113,"Havana, Cuba",beach,hotel,180,"24h check-in,air conditioning,balcony,beachfront,city view,elevator,gym,near metro,ocean view,outdoor shower,parking,tv,workspace","beach,city center,family,luxury,pet-friendly,romantic,urban",1,1
P000114,"Lyon, France",urban,apartment,240,"24h check-in,air conditioning,balcony,city view,elevator,near metro,security,tv","budget,city center,long stay,urban",3,6
P000115,"Johannesburg, South Africa",urban,hotel,175,"24h check-in,breakfast included,elevator,pet friendly,security,smart lock,washer dryer,wifi,workspace","city center,mid-range,pet-friendly,urban",1,1
P000116,"Denver, USA",mountain,townhouse,185,"gym,hot tub,mountain view,near metro,pet friendly,ski storage,smart lock,washer dryer,wifi","hiking,long stay,luxury,mountain,pet-friendly,quiet,urban",1,3
P000117,"Naples, Italy",beach,loft,165,"air conditioning,elevator,outdoor shower,parking,pet friendly,pool,smart lock,wifi","beach,beachfront,long stay,mid-range,ocean view,pet-friendly,urban",1,2
P000118,"Doha, Qatar",beach,guesthouse,150,"24h check-in,ocean view,pet friendly,tv,wifi,workspace","beach,city center,desert,family,luxury,pet-friendly,romantic,urban",3,6
P000119,"San Francisco, USA",coast,guesthouse,320,"24h check-in,elevator,gym,parking,pet friendly,pool","business,coast,family,luxury,near metro,romantic,urban",3,6
P000120,"Taipei, Taiwan",mountain,condo,185,"elevator,parking,pet friendly,ski storage,smart lock,washer dryer,workspace","hiking,long stay,luxury,mountain,pet-friendly,ski,urban",2,4
P000121,"Busan, South Korea",beach,studio,165,"air conditioning,city view,elevator,gym,parking,pet friendly,pool,washer dryer","beach,city center,family,long stay,luxury,romantic,studio,urban",1,2
P000122,"Warsaw, Poland",urban,guesthouse,110,"balcony,elevator,gym,kitchen,parking,security,workspace","business,long stay,luxury,urban",1,2
P000123,"Miami, USA",beach,bungalow,340,"balcony,elevator,gym,parking,security,washer dryer,wifi","beach,budget,long stay,near metro,ocean view,romantic,urban",1,3
P000124,"Marrakech, Morocco",urban,resort,180,"balcony,city view,elevator,gym,kitchen,near metro,pool,rooftop terrace,smart lock,washer dryer,workspace","city center,desert,historic,mid-range,near metro,urban",4,9
P000125,"Johannesburg, South Africa",urban,guesthouse,165,"balcony,city view,elevator,gym,parking,pet friendly,security,tv","budget,long stay,pet-friendly,urban",1,2
P000126,"Da Nang, Vietnam",beach,condo,135,"air conditioning,beachfront,breakfast included,elevator,kitchen,ocean view,outdoor shower,security,tv,wifi,workspace","beach,city center,family,mid-range,near metro,ocean view,urban",1,3
P000127,"Valparaíso, Chile",coast,hotel,145,"beach access,breakfast included,elevator,pet friendly,pool,smart lock,wifi","beachfront,coast,family,luxury",1,1
P000128,"Helsinki, Finland",coast,bungalow,160,"balcony,beach access,city view,elevator,near metro,parking,pool,smart lock,tv,washer dryer","coast,luxury,near metro,ocean view,pet-friendly,romantic,urban",1,2
P000129,"Boston, USA",coast,apartment,155,"air conditioning,city view,elevator,gym,kitchen,near metro,pet friendly,smart lock,wifi,workspace","budget,coast,near metro,ocean view,pet-friendly,romantic,urban",1,2
P000130,"Muscat, Oman",beach,luxury_tent,210,"air conditioning,balcony,beach access,beachfront,elevator,mountain view,outdoor shower,parking,rooftop terrace,security,ski storage,wifi","beach,beachfront,budget,business,city center,desert,hiking,mountain,nature,romantic,urban",3,6
P000131,"Brisbane, Australia",beach,loft,105,"24h check-in,balcony,beachfront,city view,elevator,gym,near metro,ocean view,parking,pet friendly,security","beach,business,city center,luxury,ocean view,romantic,urban",1,2
P000132,"Munich, Germany",urban,studio,195,"balcony,elevator,gym,kitchen,near metro,security,smart lock,washer dryer,wifi","city center,mid-range,near metro,urban",1,2
P000133,"Wellington, New Zealand",coast,bungalow,140,"balcony,beach access,breakfast included,city view,elevator,kitchen,near metro,pool,tv","bungalow,city center,coast,family,mid-range,near metro,ocean view,urban",1,2
P000134,"Riyadh, Saudi Arabia",urban,loft,185,"air conditioning,breakfast included,gym,kitchen,pet friendly,pool,smart lock,washer dryer,workspace","desert,loft,long stay,mid-range,near metro,urban",2,4
P000135,"Kyoto, Japan",urban,apartment,115,"24h check-in,balcony,breakfast included,city view,courtyard,gym,pet friendly,rooftop terrace,security,tv","budget,business,historic,long stay,urban",2,5
P000136,"Busan, South Korea",beach,hotel,240,"balcony,elevator,kitchen,outdoor shower,pet friendly,security,smart lock,washer dryer","beach,city center,long stay,mid-range,ocean view,romantic,urban",2,4
P000137,"Honolulu, USA",beach,resort,270,"air conditioning,city view,elevator,near metro,ocean view,parking,pool,scooter rental,security,smart lock,washer dryer,workspace","beach,beachfront,business,city center,island,luxury,romantic,urban",4,9
P000138,"Copenhagen, Denmark",coast,apartment,200,"24h check-in,balcony,beach access,elevator,kitchen,pet friendly,smart lock,washer dryer,wifi,workspace","business,coast,family,long stay,luxury,romantic,urban",3,6
P000139,"Berlin, Germany",urban,guesthouse,175,"air conditioning,balcony,breakfast included,city view,kitchen,near metro,pet friendly,security,smart lock,washer dryer","long stay,mid-range,pet-friendly,urban",1,1
P000140,"Cancun, Mexico",beach,hotel,135,"24h check-in,breakfast included,kitchen,washer dryer,wifi","beach,budget,family,romantic",1,3
P000141,"Copenhagen, Denmark",coast,guesthouse,220,"air conditioning,balcony,city view,elevator,gym,pet friendly,sea view,smart lock","beachfront,coast,family,long stay,luxury,pet-friendly,urban",2,5
P000142,"Medellín, Colombia",mountain,villa,210,"24h check-in,air conditioning,breakfast included,city view,fireplace,hot tub,kitchen,near metro,parking,ski storage,tv,washer dryer,wifi","business,long stay,mid-range,mountain,nature,quiet,urban",5,10
P000143,"Hanoi, Vietnam",urban,guesthouse,45,"breakfast included,security,smart lock,tv,washer dryer,workspace","budget,business,guesthouse,near metro,urban",2,4
P000144,"Barcelona, Spain",beach,condo,220,"air conditioning,breakfast included,city view,elevator,near metro,outdoor shower,pet friendly,security,tv","beach,beachfront,budget,family,long stay,near metro,urban",2,4
P000145,"Medellín, Colombia",mountain,villa,185,"air conditioning,city view,elevator,fireplace,gym,mountain view,near metro,parking,pet friendly,ski storage,tv,wifi","budget,city center,mountain,nature,pet-friendly,ski,urban",2,4
P000146,"Cairo, Egypt",urban,guesthouse,115,"24h check-in,balcony,elevator,kitchen,pool,rooftop terrace,security,shade courtyard,smart lock,tv,washer dryer","city center,desert,long stay,mid-range,river,urban",2,4
P000147,"Portland, USA",forest,studio,90,"24h check-in,balcony,breakfast included,city view,elevator,firepit,near metro,parking,security,tv","business,forest,luxury,nature,pet-friendly,quiet,studio,urban",1,1
P000148,"Sharm El Sheikh, Egypt",beach,hotel,130,"24h check-in,air conditioning,ocean view,outdoor shower,pet friendly,security,shade courtyard,wifi","beach,beachfront,desert,family,luxury",1,3
P000149,"Venice, Italy",waterfront,houseboat,215,"balcony,city view,elevator,gym,kitchen,near metro,pet friendly,security,washer dryer,workspace","budget,business,long stay,urban,waterfront",2,5
